subfolder,users,decision,rationale
enron_kids,1,INCLUDED,Enron Kids programme — corporate community
enron_litigation,1,PII/LEGAL,Enron litigation files — litigation sensitive
enron_lng,1,INCLUDED,Enron LNG operations
enron_mentions,1,INCLUDED,Enron press mentions
enron_messages,1,INCLUDED,Enron messages — business
enron_net_works,1,INCLUDED,Enron networks operations
enron_networks,1,INCLUDED,Enron Networks operations
enron_news,2,INCLUDED,Enron corporate news distribution
enron_online,2,INCLUDED,EnronOnline system — business
enron_online_summary,1,INCLUDED,EOL summary — business
enron_power,1,INCLUDED,Enron Power operations
enron_property_services,1,INCLUDED,Property services — business
enron_t_s,1,INCLUDED,Enron T&S operations
enron_travel_club,1,INCLUDED,Enron travel club — corporate
enron_updates,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
enroncredit_com,1,INCLUDED,EnronCredit.com — business
enrononline,1,INCLUDED,EnronOnline — business
entelligence,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
entex,2,INCLUDED,Entex operations correspondence
enviromental,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
environment___montreal,1,INCLUDED,Montreal environment — regulatory
environmental,1,INCLUDED,Environmental affairs — business
environmental_issues,1,INCLUDED,Environmental affairs — business
eol,11,INCLUDED,EOL trading platform — business
eol___tagg,1,INCLUDED,EOL TAGG — business
eol_access,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
eol_rqsts,1,INCLUDED,EOL requests — business
eolml7,1,INCLUDED,EOL ML7 product — business
eott,3,INCLUDED,EOTT operations — business
eott_due_diligence,1,INCLUDED,EOTT due diligence — business
eott_midland,1,INCLUDED,EOTT Midland operations
epmi___power,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
epsa,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
erc,1,INCLUDED,ERC operations
ercot,1,INCLUDED,ERCOT market operations
ernie,1,INCLUDED,ERNIE system correspondence
ernie_training,1,PII/LEGAL,Named system training — HR artefact
esai,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
espeed,1,INCLUDED,eSpeed trading — business
estate,1,INCLUDED,Estate/facilities — business
et,1,INCLUDED,ET counterparty — business
et_contacts,1,INCLUDED,ET contacts — business
et_s,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ethics_ljm_notre_dame,1,PII/LEGAL,LJM ethics matter — litigation sensitive
ethink,1,INCLUDED,eThink — business
etol,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
euncie_texaco_remediation,1,INCLUDED,Environmental operations
europe,3,INCLUDED,European operations
europe_july,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
europe_june,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
europe_october,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
evaluation,1,PII/LEGAL,Performance evaluation — sensitive PII
evaluations,1,PII/LEGAL,Performance evaluations — sensitive PII
expense_reports,2,PII/LEGAL,Personal expense reports — financial PII
expense_rpts__1997,1,PII/LEGAL,Personal expense reports — financial PII
expense_system,1,PII/LEGAL,Expense system records — financial PII
expenses,1,PII/LEGAL,Expense records — financially sensitive
experience_enron,1,INCLUDED,Enron brand/culture — business
facilities_services,1,INCLUDED,Facilities management — business
family,1,PII/LEGAL,Personal family correspondence — PII
fasb133,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
favorites,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
fed_legis_2001,1,INCLUDED,Federal legislation 2001 — public affairs
federal_emergency,1,INCLUDED,Federal emergency — public affairs
federal_gov_t_affairs,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
federal_legis_,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
federal_legislation,1,INCLUDED,Federal legislation — public affairs
fedex,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
felecia_fitzgerald,1,PII/LEGAL,Named individual folder — personal PII
ferc,6,INCLUDED,FERC regulatory correspondence
ferc_reporting_reqts,1,INCLUDED,FERC reporting requirements
ffl,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
file,1,SYSTEM,"Generic file folder — ambiguous, non-specific"
file_space,1,INCLUDED,File space administration — business
fin_desk,1,INCLUDED,Financial desk operations
finanial_operations,1,INCLUDED,Financial operations — business
fire_chief,1,INCLUDED,Fire chief correspondence — operations
first_delivery,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
first_gas,1,INCLUDED,First Gas — business
fisher__kristina,1,PII/LEGAL,Named individual folder — personal PII
flash,1,INCLUDED,Flash reports — business
floorspace,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
florida,4,INCLUDED,Florida operations correspondence
forest_and_paper_products,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
forms,1,CONTENT-MISMATCH,Form templates — not email
forney,1,INCLUDED,Forney counterparty — business
fpl,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
fpl_genco,1,INCLUDED,FPL Genco — business
freestone,1,INCLUDED,Freestone project — business
freight,1,INCLUDED,Freight operations — business
frevert__mark,1,PII/LEGAL,Named executive folder — sensitive PII
friends,3,PII/LEGAL,Personal friends correspondence — PII
frito_lay,1,INCLUDED,Frito-Lay counterparty — business
frontera,1,INCLUDED,Frontera pipeline — operations
ft__pierce,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
fuel,1,INCLUDED,Fuel operations — business
fuel_cells,3,INCLUDED,Fuel cell technology business correspondence
fun,1,INCLUDED,Fun/humour emails — legitimate ham
fun_emails,1,INCLUDED,Fun emails — legitimate ham
fundamentals,4,INCLUDED,Energy fundamentals analysis
fundementals,1,INCLUDED,Fundamentals — business
fundies,1,INCLUDED,Energy fundamentals — business
funny,4,INCLUDED,Humour emails — legitimate ham
fyi,1,INCLUDED,FYI distribution — business
g__robinson,1,INCLUDED,Counterparty correspondence
ga_fundamentals,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
garcia_munte,1,PII/LEGAL,Named individual — PII
garden_state_paper,1,INCLUDED,Garden State Paper — counterparty
gas,3,INCLUDED,Natural gas trading correspondence
gas_accord,1,INCLUDED,Gas Accord regulatory matter
gas_customers___chris_foster,1,INCLUDED,Gas customers — business
gas_deals,1,INCLUDED,Gas deal correspondence
gas_issues,2,INCLUDED,Natural gas issues — business
gaza,1,INCLUDED,Gaza project — business
gbn,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ge,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ge_general,1,INCLUDED,GE counterparty — business
genco,1,INCLUDED,Genco operations
genco_jv_ipo,1,INCLUDED,Genco JV/IPO — business
genco_plant_misc,1,INCLUDED,Genco plant — business
general_rate_case_s_,1,INCLUDED,General rate case — regulatory
general_research,1,INCLUDED,Business research correspondence
general_stuff,1,INCLUDED,General business correspondence
generation,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
gir,1,INCLUDED,GIR operations — business
girls,1,INCLUDED,Ambiguous — retained as likely business group
gleason__sound,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
glen_hass,1,PII/LEGAL,Named individual folder — personal PII
glendale,1,INCLUDED,Glendale operations — business
global,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
global_markets,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
global_mkts,1,INCLUDED,Global markets — business
global_standards,1,INCLUDED,Global standards — business
globalassets,1,INCLUDED,Global assets — business
glover,1,PII/LEGAL,Named individual — PII
glover__sheila,1,PII/LEGAL,Named individual folder — personal PII
goals_2000,1,PII/LEGAL,Individual goals records — sensitive PII
goals_and_objectives_1999,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
golf,1,PII/LEGAL,Personal leisure — PII
gomez_remediation,1,INCLUDED,Environmental operations
gore,1,INCLUDED,Gore public affairs
gossett,1,PII/LEGAL,Named individual folder — personal PII
gossett__jeff,1,PII/LEGAL,Named individual folder — personal PII
government_affairs,1,INCLUDED,Government affairs — public policy
government_affairs_group_reports,1,INCLUDED,Government affairs reports
governor_davis_meeting,1,INCLUDED,Governor Davis meeting — public affairs
govt,1,INCLUDED,Government affairs — business
gpg,2,INCLUDED,GPG operations correspondence
gpg_ops,1,INCLUDED,GPG operations
granite__2_,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
granite_ii,1,INCLUDED,Granite II project — business
greenhouse_gas_business,1,INCLUDED,Greenhouse gas — business
greg_couch,1,PII/LEGAL,Named individual folder — personal PII
gri_jan_1996,1,INCLUDED,GRI January 1996 — business
grupo_chihuahua,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
gspp_conference,1,INCLUDED,Conference/speaking engagement
gu_recruiting,1,PII/LEGAL,University recruiting — sensitive PII
guaranties,1,PII/LEGAL,Guaranty contracts — legally sensitive
gwolfe,1,INCLUDED,GWolfe correspondence — business
hall__bob,1,PII/LEGAL,Named individual folder — personal PII
hall__todd,1,PII/LEGAL,Named individual folder — personal PII
haywood,1,INCLUDED,Haywood counterparty — business
hea_nesa,1,INCLUDED,HEA/NESA market — business
heat_wave,1,INCLUDED,Heat wave — operations/public affairs
hedging,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
hedstrom__peggy,1,PII/LEGAL,Named individual folder — personal PII
helsinki,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
henwood,1,INCLUDED,Henwood counterparty — business
heof_intrust,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
herod__brenda,1,PII/LEGAL,Named individual folder — personal PII
hesco,1,INCLUDED,HESCO counterparty — business
hickerson,1,PII/LEGAL,Named individual folder — PII
hickerson___ag_trading,1,PII/LEGAL,Named individual trading folder — PII
highland,1,INCLUDED,Highland counterparty — business
hoegh_galleon,1,INCLUDED,Hoegh Galleon LNG vessel — business
hold,1,SYSTEM,Temporary hold folder — ambiguous provenance
holden_s,1,PII/LEGAL,Named individual folder — personal PII
holidays,1,INCLUDED,Holiday schedule — business operations
hopwood__tom,1,PII/LEGAL,Named individual folder — personal PII
house,1,PII/LEGAL,Personal real estate correspondence — PII
house___new,1,PII/LEGAL,Personal real estate — PII
houston,1,INCLUDED,Houston operations — business
houstonfundamentals,1,INCLUDED,Houston energy fundamentals
hp,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
hpl,2,INCLUDED,HPL pipeline operations
hpl_sale,1,INCLUDED,HPL sale transaction — business
hpl_sell,1,INCLUDED,HPL sale transaction — business
hr,3,PII/LEGAL,HR records — sensitive PII
hr_data,1,PII/LEGAL,HR data records — sensitive PII
hr_info,1,PII/LEGAL,HR information — sensitive PII
hr_risk_management,1,INCLUDED,Risk management — business operations
hr_stats,1,PII/LEGAL,HR statistics — sensitive PII
hs,1,INCLUDED,HS operations — business
human_resources,3,PII/LEGAL,HR department records — sensitive PII
humor,3,INCLUDED,Humour/forward emails — legitimate ham class
hydro,1,INCLUDED,Hydro operations — business
i2,1,INCLUDED,i2 technology — business
ibuyit,1,INCLUDED,iBuyIt procurement — business
ibuyit_information,1,INCLUDED,iBuyIt information — business
icap_policy,1,INCLUDED,ICAP policy — regulatory
ice,1,INCLUDED,ICE exchange correspondence
illinois,2,INCLUDED,Illinois operations correspondence
immediate_response,1,INCLUDED,Immediate response correspondence — business
important_e_mails,1,INCLUDED,Important email archive — business
important_info,1,INCLUDED,Important info — business
important_information,1,INCLUDED,Important information — business
importantstuff,1,INCLUDED,Important business correspondence
ina,1,INCLUDED,INA counterparty — business
inbox,137,INCLUDED,Primary received mail — standard business email
inclement_weather_list,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
indeck_corinth,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
india,6,INCLUDED,India operations business correspondence
india___derivatives,1,INCLUDED,India derivatives — business
indian_trading,1,INCLUDED,Indian trading — business
industrial_cust__solutions,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
industrials,1,INCLUDED,Industrial customers — business
industry_mentions,1,INCLUDED,Industry mentions — business
infineum,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
info,2,INCLUDED,Information distribution correspondence
info2,1,INCLUDED,Information distribution — business
info3,1,INCLUDED,Information distribution — business
infrastructure,1,INCLUDED,Infrastructure — business
ingaastudy,1,INCLUDED,INGAA study — regulatory research
inland,1,INCLUDED,Inland operations — business
insideferc,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
insurance_call_spread,1,PII/LEGAL,Structured insurance product — legally sensitive
insurance_risk,1,INCLUDED,Insurance risk management — business
integration,1,INCLUDED,Integration project — business
interconnect_agreement_sample,1,INCLUDED,Interconnect agreement — business
interconnection,2,INCLUDED,Grid interconnection correspondence
interconnection_issues,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
internal_communications,1,INCLUDED,Internal communications — business
international,2,INCLUDED,International operations correspondence
internet,1,CONTENT-MISMATCH,Internet bookmarks — not email
internet_sites,1,CONTENT-MISMATCH,Bookmarks/URL list — not email
investing,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
investments,1,INCLUDED,Business investments
iowa,1,INCLUDED,Iowa operations — business
ipayit_information,1,INCLUDED,iPayIt system — business
isda,2,PII/LEGAL,ISDA master agreements — legally sensitive
isda_matters,1,PII/LEGAL,ISDA matters — legally sensitive
iso,1,INCLUDED,ISO market operations
iso__pricecaps,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
israel_estrada,1,PII/LEGAL,Named individual folder — personal PII
it,4,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
it___misc_,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
italy,1,INCLUDED,Italy operations — business
itinerary_off_duty,1,PII/LEGAL,Off-duty itinerary — personal PII
itinerary_receipt,1,INCLUDED,Business travel itinerary
janie,1,PII/LEGAL,Named individual — personal PII
japan,6,INCLUDED,Japan operations business correspondence
jay_s_saved_stuff,1,PII/LEGAL,Named individual folder — personal PII
jblock,1,INCLUDED,J-Block project — business
jdf,1,INCLUDED,JDF operations — business
jean,1,PII/LEGAL,Named individual (first name only) — personal PII
jeff_nogid,1,PII/LEGAL,Named individual folder — personal PII
jennifer,1,PII/LEGAL,Named individual (first name) — PII
john_memos,1,INCLUDED,Business memos
john_shafer,1,PII/LEGAL,Named individual folder — personal PII
jrhernandez,1,PII/LEGAL,Named individual — personal PII
julie_ferrara,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
junk,1,SYSTEM,Junk mail folder — unreliable ham label
junk_e_mail,1,SYSTEM,Junk folder variant — unreliable ham label
junk_mail,1,SYSTEM,Junk folder — unreliable ham label
kafus,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
kcs,1,INCLUDED,KCS counterparty — business
keep_all_e_mail___,1,INCLUDED,Flagged business emails — included
kelly,1,PII/LEGAL,Named individual — personal PII
ken_lay,1,INCLUDED,Ken Lay — CEO business correspondence
kern,1,INCLUDED,Kern operations — business
keyex_1997,1,INCLUDED,Keyex 1997 operations — business
kim_s_files,1,PII/LEGAL,Named individual folder — personal PII
kingman_heat_recovery,1,INCLUDED,Kingman heat recovery — business
kinko_s,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
kiodex,2,INCLUDED,Kiodex system — business
kitchen__louise,1,PII/LEGAL,Named individual folder — personal PII
kn_energy,1,INCLUDED,KN Energy — business
knauf,1,INCLUDED,Knauf counterparty — business
knowledge_management,1,INCLUDED,Knowledge management — business
koch,1,INCLUDED,Koch Industries — counterparty correspondence
korea,1,INCLUDED,Korea operations — business
la_plata_c_s,1,INCLUDED,Operations
laptop,1,INCLUDED,Laptop/IT operations — business
las_cruces,1,INCLUDED,Las Cruces operations — business
lavorato__john,1,PII/LEGAL,Named executive folder — sensitive PII
ldwp,1,INCLUDED,LDWP counterparty — business
leadership_development,1,PII/LEGAL,Leadership programme — HR sensitive
leg_conf_topics,1,INCLUDED,Legislative conference topics — business
legal,4,PII/LEGAL,Legal correspondence — litigation sensitive
legislation,1,INCLUDED,Energy legislation affairs
lexisid,1,PII/LEGAL,Legal system credentials — PII/security risk
ljm,1,PII/LEGAL,LJM SPE — Enron fraud — legally sensitive
lm6000,1,INCLUDED,LM6000 turbine — operations
lng,5,INCLUDED,LNG trading and operations correspondence
lockridge_remediation,1,INCLUDED,Environmental operations
logistics,1,INCLUDED,Logistics operations
london,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
long_beach,1,INCLUDED,Long Beach operations — business
lorraine_s_files,1,PII/LEGAL,Named individual folder — personal PII
lost_creek,1,INCLUDED,Lost Creek project — business
lotus_notes_link,1,CONTENT-MISMATCH,Lotus Notes link artefact — not email
lrc_bridgeline,1,INCLUDED,LRC Bridgeline — operations
lt_contracts,1,INCLUDED,Long-term contracts — business
magruder,1,PII/LEGAL,Named individual — PII
mahonia,1,PII/LEGAL,Mahonia prepay deal — Enron fraud context
management_conference,1,INCLUDED,Management conference — business
marc_phillips,1,PII/LEGAL,Named individual folder — personal PII
mariner,1,INCLUDED,Mariner counterparty — business
mark,1,PII/LEGAL,Named individual (first name only) — personal PII
mark_whitt,1,PII/LEGAL,Named individual folder — personal PII
market,1,INCLUDED,Market operations correspondence
market_intel,1,INCLUDED,Market intelligence — business
market_structure,1,INCLUDED,Market structure — business
market_structure__seabron_adamson_,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
market_structure__task_force,1,INCLUDED,Market structure task force
marketing_affiliate,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
marketing_affiliate_matters,1,INCLUDED,Marketing affiliate matters — business
marketingaffiliate,1,INCLUDED,Marketing affiliate — business
markets,1,INCLUDED,Markets — business
marks,1,INCLUDED,Marks/valuation — business
marsh_usa,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
master_notice,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
master_swap_issues,1,PII/LEGAL,Master swap agreements — legally sensitive
mba__accounting,1,PII/LEGAL,Individual education records — PII
mba__advanced_finance,1,PII/LEGAL,Individual education records — PII
mba__analysis_of_financial_information,1,PII/LEGAL,Individual education — PII
mba__e_commerce,1,PII/LEGAL,Individual education — PII
mba__finance,1,PII/LEGAL,Individual education — PII
mba__finance_study_group,1,PII/LEGAL,Individual education — PII
mba__financial_reporting,1,PII/LEGAL,Individual education — PII
mba__macroeconomics,1,PII/LEGAL,Individual education — PII
mba__managerial_accting,1,PII/LEGAL,Individual education — PII
mba__marketing,1,PII/LEGAL,Individual education — PII
mba__mpar,1,PII/LEGAL,Individual education — PII
mba__quant,1,PII/LEGAL,Individual education — PII
mba_program,1,PII/LEGAL,Individual education records — PII
mbr___market_power,1,INCLUDED,MBR market power — regulatory
mckinsey_project,1,INCLUDED,McKinsey project — business
media,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
meeting_invites_confirms,1,INCLUDED,Meeting invitations — business
meetings,3,INCLUDED,Meeting coordination correspondence
meetings___general,1,INCLUDED,General meeting coordination
meetings___nng_customer_mtg,1,INCLUDED,NNG customer meeting — business
meetings___tw_customer,1,INCLUDED,TW customer meeting — business
mega_morgan_assignment,1,INCLUDED,Mega Morgan assignment — business
meh_new_projects,1,INCLUDED,New projects — business
mehpictures,1,INCLUDED,Business photos/media — corporate
melodick__kim,1,PII/LEGAL,Named individual folder — personal PII
memo_s,1,INCLUDED,Business memos
memos,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
merced,1,INCLUDED,Merced counterparty — business
merchant_function_group,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
merchant_investments,1,INCLUDED,Merchant investments — business
merger_with_dynegy,1,INCLUDED,Dynegy merger — business correspondence
mergers,1,PII/LEGAL,M&A records — legally sensitive
merit,1,PII/LEGAL,Merit/salary review — sensitive PII
merrill_lynch,1,PII/LEGAL,Personal brokerage — sensitive PII
mesa,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
messages,1,INCLUDED,General business messages
metals,3,INCLUDED,Metals trading correspondence
mexico,4,INCLUDED,Mexico operations business correspondence
mg,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
mgmt_summary,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
michcon,1,INCLUDED,Michigan Consolidated Gas — counterparty
michigan,2,INCLUDED,Michigan operations correspondence
mid_atlantic,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
mid_columbia,1,INCLUDED,Mid Columbia — business
mid_market,1,INCLUDED,Mid-market operations
middle_east,1,INCLUDED,Middle East operations — business
midesto,1,INCLUDED,Midesto counterparty — business
midway,2,INCLUDED,Midway operations
midwest,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
midwest_retail_delivery,1,INCLUDED,Midwest retail delivery — business
mike_reynolds,1,PII/LEGAL,Named individual folder — personal PII
military_privatizations,1,INCLUDED,Military privatisation — business
misc,6,INCLUDED,Miscellaneous business correspondence
misc_,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
misc__gas_issues,1,INCLUDED,Miscellaneous gas issues — business
misc_tw,1,INCLUDED,Miscellaneous TW — business
miscellaneous,3,INCLUDED,Miscellaneous business correspondence
mit,1,INCLUDED,MIT — institutional/research relations
mkt_affiliate,1,INCLUDED,Marketing affiliate — business
ml7_eol_product,1,INCLUDED,ML7 EOL product — business
monetization_el_paso,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
monmouth,1,INCLUDED,Monmouth project — business
monterrey_office,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
monthly_pma_s,1,INCLUDED,Monthly PMA reports — business
moosehead,1,INCLUDED,Moosehead project — business
moscoso__mike,1,PII/LEGAL,Named individual folder — personal PII
motley_fool_e_mails,1,INCLUDED,Motley Fool market news — business
move,3,SYSTEM,Migration staging — system artefact
move_stuff,1,SYSTEM,Temporary staging folder — system artefact
mpr,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
msa_revisions,1,INCLUDED,MSA revision correspondence — business
msap_info,1,INCLUDED,MSAP information — business
mtbe,1,INCLUDED,MTBE fuel operations
municipalities,1,INCLUDED,Municipal customer relations
murphy__ted,1,PII/LEGAL,Named individual folder — personal PII
my_personal,1,PII/LEGAL,Self-labelled personal — explicit personal correspondence
myfriends,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
n_form,1,INCLUDED,N-form regulatory filing — business
nacec,1,INCLUDED,NACEC — regulatory
name_change_merger,1,INCLUDED,Name change/merger — business
naruc,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
nat_gas,1,INCLUDED,Natural gas — business
national_campaign,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
national_fuel,1,INCLUDED,National Fuel counterparty — business
national_steel,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
natsource,1,INCLUDED,Natsource counterparty — business
natural_gas_strategy,1,INCLUDED,Natural gas strategy correspondence
nbpl,1,INCLUDED,NBPL operations
nbpl_information,1,INCLUDED,NBPL information
ncpa,1,INCLUDED,NCPA counterparty — business
ne_development,1,INCLUDED,NE development — business
need_to_read,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
negotiated_rates,1,INCLUDED,Negotiated rates — regulatory
nelson,1,PII/LEGAL,Named individual folder — personal PII
nepco,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
nepco_europe,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
nerc,3,INCLUDED,NERC reliability organisation correspondence
netco,1,INCLUDED,Netco operations — business
networks,3,INCLUDED,Networks operations — business
neumin,1,INCLUDED,Neumin counterparty — business
nevada,1,INCLUDED,Nevada operations — business
new_england_ny,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
new_hires,1,PII/LEGAL,New hire records — sensitive PII
new_items,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
new_jersey_natural,1,INCLUDED,New Jersey Natural — counterparty
new_normal_dot,1,CONTENT-MISMATCH,Word template artefact — not email
new_power,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
new_york,2,INCLUDED,New York operations correspondence
newpower,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
newpowernoncompete,1,INCLUDED,New Power non-compete — business
newsletter,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ngo_s,1,INCLUDED,NGO relations — business/public affairs
ngpl,1,INCLUDED,NGPL pipeline — operations
nimo,1,INCLUDED,NIMO counterparty — business
njn,1,INCLUDED,NJN operations — business
nng,2,INCLUDED,NNG pipeline operations
nng___sba,1,INCLUDED,NNG SBA agreement — business
nng___sla_settlement,1,INCLUDED,NNG SLA settlement — business
non_us_offices,1,INCLUDED,Non-US offices — business
noresco,1,INCLUDED,Noresco counterparty — business
north_crawar_remediation,1,INCLUDED,Environmental operations
notes,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
notes_inbox,82,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
notre_dame,2,INCLUDED,Notre Dame conference/speaking engagement
nov00_mar01_deals,1,INCLUDED,Deals Nov 2000–Mar 2001 — business
npdes_stormwater,1,INCLUDED,Environmental compliance operations
nrg,1,INCLUDED,NRG Energy counterparty — business
nsm,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
nsps_for_turbines,1,INCLUDED,Environmental compliance operations
nyiso,1,INCLUDED,NYISO market operations
nymex,2,INCLUDED,NYMEX exchange correspondence
nymex_hedge_exemptions,1,PII/LEGAL,Regulatory hedge exemptions — sensitive
nymex_prices,1,INCLUDED,NYMEX prices — business
ocd,1,INCLUDED,OCD operations — business
oec,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ofccp_audit,1,PII/LEGAL,OFCCP employment audit — litigation sensitive
off_balance_sheet_form_contracts,1,PII/LEGAL,Off-balance-sheet contracts — Enron fraud context — legally sensitive
off_site,1,INCLUDED,Off-site meetings — business
office_of_the_chair,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
offline,1,SYSTEM,Offline sync folder — system artefact
offshore_processing,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
offsite,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ofos,1,INCLUDED,OFOS market operations
ogelthorpe,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ohio,1,INCLUDED,Ohio operations — business
old,2,SYSTEM,Undifferentiated archive dump — provenance unclear
old_email,1,SYSTEM,Undifferentiated old-email archive — provenance unclear
old_inbox,1,SYSTEM,Archived inbox copy — duplicates inbox content
old_messages,1,SYSTEM,Archived messages — provenance unclear
older_than_30,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
oman_lng,1,INCLUDED,Oman LNG — business
on_call_schedule,1,INCLUDED,On-call schedule — business operations
online_trading,2,INCLUDED,Online trading operations
ontario,1,INCLUDED,Ontario market — business
ontario_nug,1,INCLUDED,Ontario NUG — regulatory
ontario_oa,1,INCLUDED,Ontario open access — regulatory
operating_rpts,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
operational_sales,1,INCLUDED,Operational sales — business
operations_committee_isas,1,INCLUDED,Operations committee ISAs — business
opic,1,INCLUDED,OPIC — international operations
options,1,INCLUDED,Options trading — business
order_637,2,INCLUDED,Order 637 — regulatory
org__announc_,1,INCLUDED,Org announcements — business
org_announc____chrts,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
organization,1,INCLUDED,Organisational correspondence
organizational_announcements,1,INCLUDED,Org announcements — business
organizational_changes,1,INCLUDED,Org changes — business
organizational_issues,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
